% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3 +9.754590611e+04 +9.754590611e+04 +9.751610611e+04 +9.751610611e+04 +9.3994e-01 +9.2267e-01 +3.8322e-02 +3.6399e-01 +8.2524e-01 +3.0252e-02 +8.2296e-01 +8.5065e-01 +1.4178e-02 +6.2646e-02 +6.8830e-01 +3.0854e-01 +3.3300e-01 +2.1433e-01 +2.2680e-01 +8.8189e-01 +5.9830e-01 +4.4347e-01 +7.0743e-01 +7.1388e-01
62 +6.201413608e+04 +6.201413608e+04 +6.198433608e+04 +6.198433608e+04 +6.9543e-02 +5.0000e-01 +9.3886e-01 +1.8123e-01 +6.3970e-01 +0.0000e+00 +9.2584e-02 +3.4196e-01 +8.1480e-01 +5.0082e-02 +1.0000e+00 +5.9552e-01 +8.2851e-03 +9.5549e-01 +5.0000e-01 +1.4234e-01 +9.8412e-01 +2.3870e-01 +5.2410e-01 +4.0676e-01
% function evaluation | noise-free fitness - Fopt (8.140000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.344907814e+05 +1.344907814e+05 +1.345721814e+05 +1.345721814e+05 +9.5597e-01 +6.4026e-01 +5.7973e-01 +8.2706e-01 +4.6397e-01 +3.9326e-01 +6.9007e-01 +2.4154e-01 +7.6828e-01 +5.0912e-01 +8.5870e-01 +3.4885e-01 +1.5918e-01 +3.6058e-01 +6.0218e-01 +7.0456e-01 +2.9142e-01 +6.8389e-01 +5.1394e-01 +4.8057e-01
51 +9.925288272e+04 +9.925288272e+04 +9.933428272e+04 +9.933428272e+04 +0.0000e+00 +4.1443e-01 +5.5518e-02 +1.6358e-02 +4.9140e-01 +7.3969e-02 +1.0000e+00 +2.4894e-01 +4.4963e-01 +4.6467e-01 +0.0000e+00 +3.2814e-01 +1.0000e+00 +1.2442e-01 +2.6133e-01 +4.5397e-01 +5.9371e-01 +7.1083e-01 +4.2545e-01 +6.5675e-01
402 +6.304805155e+04 +6.304805155e+04 +6.312945155e+04 +6.312945155e+04 +2.3110e-02 +0.0000e+00 +1.0000e+00 +9.9387e-01 +3.9589e-01 +0.0000e+00 +0.0000e+00 +1.1887e-03 +1.0000e+00 +2.3675e-03 +0.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.7701e-04 +0.0000e+00 +1.0000e+00 +9.2193e-01 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.835000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.937182659e+04 +5.937182659e+04 +5.935347659e+04 +5.935347659e+04 +6.8385e-01 +8.5850e-01 +6.6131e-01 +6.9598e-01 +6.2242e-01 +2.1998e-01 +4.6793e-02 +6.3559e-01 +6.9241e-01 +5.0346e-01 +3.5847e-01 +8.2838e-01 +3.3270e-01 +5.2131e-01 +5.3177e-01 +8.7522e-01 +9.2867e-01 +4.9850e-01 +2.8554e-02 +7.5119e-01
41 +3.883172064e+04 +3.883172064e+04 +3.881337064e+04 +3.881337064e+04 +0.0000e+00 +8.4806e-01 +9.5685e-01 +6.3121e-01 +4.6434e-01 +4.9649e-02 +1.1907e-01 +4.4070e-02 +0.0000e+00 +1.0000e+00 +2.6839e-01 +1.5752e-01 +7.9767e-01 +2.9491e-01 +5.1154e-01 +7.6752e-01 +6.2010e-01 +5.5445e-01 +4.9852e-01 +9.2429e-01
247 +2.507788016e+04 +2.507788016e+04 +2.505953016e+04 +2.505953016e+04 +5.2509e-01 +1.0000e+00 +9.2466e-01 +1.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +9.3826e-01 +0.0000e+00 +0.0000e+00 +8.4531e-01 +9.4235e-01 +1.0000e+00 +1.0000e+00 +0.0000e+00 +6.0374e-01 +7.2174e-04 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (-9.987000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.644032979e+04 +7.644032979e+04 +7.634045979e+04 +7.634045979e+04 +3.6973e-01 +7.8636e-01 +5.6368e-01 +2.7099e-01 +9.2072e-01 +9.5944e-01 +9.2540e-01 +3.8880e-01 +9.8975e-01 +5.6676e-01 +9.4464e-01 +3.2138e-01 +2.4744e-02 +3.8754e-01 +3.1101e-01 +8.9155e-01 +4.0418e-01 +7.8410e-01 +7.7885e-01 +4.3547e-01
6 +5.072631861e+04 +5.072631861e+04 +5.062644861e+04 +5.062644861e+04 +7.4257e-01 +2.4471e-01 +3.3763e-01 +7.4275e-01 +4.6073e-01 +5.1490e-01 +8.6048e-01 +1.8121e-01 +5.5760e-01 +2.8700e-01 +1.7360e-01 +9.7413e-01 +3.6336e-01 +2.3789e-01 +3.4872e-02 +9.6283e-01 +5.2394e-01 +5.7183e-01 +4.8577e-01 +7.4243e-02
94 +3.883000496e+04 +3.883000496e+04 +3.873013496e+04 +3.873013496e+04 +6.3314e-01 +0.0000e+00 +6.4032e-01 +8.6817e-01 +1.4067e-02 +0.0000e+00 +1.0000e+00 +0.0000e+00 +6.1993e-01 +0.0000e+00 +5.7280e-02 +9.9603e-01 +0.0000e+00 +1.3945e-01 +7.3226e-02 +9.9959e-01 +4.1048e-01 +6.1624e-01 +1.6264e-01 +3.9957e-01
% function evaluation | noise-free fitness - Fopt (7.680000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.262256116e+05 +1.262256116e+05 +1.262332916e+05 +1.262332916e+05 +2.0339e-01 +1.8805e-01 +5.5907e-01 +2.1797e-01 +6.1391e-01 +3.7635e-02 +8.3107e-01 +9.7167e-01 +5.0914e-01 +6.6784e-01 +3.7281e-01 +2.7160e-01 +1.2400e-01 +5.7380e-01 +1.4510e-01 +6.5645e-01 +1.0361e-01 +2.0755e-01 +2.0505e-01 +7.1591e-01
65 +9.950382154e+04 +9.950382154e+04 +9.951150154e+04 +9.951150154e+04 +7.7467e-01 +1.0000e+00 +0.0000e+00 +8.5050e-01 +9.4682e-01 +0.0000e+00 +1.7504e-01 +1.0000e+00 +0.0000e+00 +0.0000e+00 +1.7669e-01 +6.9624e-01 +0.0000e+00 +9.7449e-01 +3.9693e-01 +0.0000e+00 +8.0718e-03 +7.8155e-02 +0.0000e+00 +7.6908e-01
% function evaluation | noise-free fitness - Fopt (-1.809300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.025790985e+05 +1.025790985e+05 +1.023981685e+05 +1.023981685e+05 +1.2096e-01 +8.5942e-01 +7.4012e-01 +6.2771e-01 +8.5371e-01 +7.5975e-01 +6.1548e-01 +3.2566e-01 +1.6785e-01 +1.4953e-01 +4.7373e-01 +4.3094e-01 +3.4963e-01 +5.0370e-01 +2.0129e-01 +7.0467e-01 +3.8473e-02 +4.3427e-01 +4.0082e-01 +5.6629e-01
9 +9.329992429e+04 +9.329992429e+04 +9.311899429e+04 +9.311899429e+04 +3.8753e-01 +3.0603e-01 +7.0640e-01 +9.8203e-01 +7.8135e-02 +2.2740e-01 +4.1475e-01 +8.1478e-01 +5.2822e-01 +1.2618e-01 +8.7922e-01 +7.7384e-01 +4.7843e-01 +9.3880e-01 +4.4996e-01 +4.2684e-02 +4.0974e-01 +6.4925e-01 +4.6163e-01 +5.5338e-01
187 +6.294082748e+04 +6.294082748e+04 +6.275989748e+04 +6.275989748e+04 +0.0000e+00 +4.7255e-01 +2.4973e-01 +1.0000e+00 +0.0000e+00 +3.0841e-03 +9.8997e-02 +7.1925e-01 +0.0000e+00 +0.0000e+00 +1.0000e+00 +9.1710e-01 +1.0000e+00 +1.4531e-01 +3.0388e-02 +9.3267e-01 +7.8840e-02 +5.9865e-02 +4.1661e-01 +5.7849e-01
% function evaluation | noise-free fitness - Fopt (-3.674000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.270714916e+05 +1.270714916e+05 +1.270347516e+05 +1.270347516e+05 +6.6305e-01 +3.1091e-01 +2.2859e-01 +6.2702e-01 +5.3983e-01 +1.6555e-01 +2.1386e-01 +6.3652e-02 +3.8847e-01 +6.8560e-01 +5.2273e-01 +5.8181e-01 +2.2704e-01 +3.8258e-01 +5.7878e-01 +5.8332e-01 +8.1603e-01 +3.1071e-01 +3.8499e-01 +5.6995e-01
50 +9.963348199e+04 +9.963348199e+04 +9.959674199e+04 +9.959674199e+04 +2.8540e-01 +6.8096e-01 +0.0000e+00 +6.2833e-01 +0.0000e+00 +7.3744e-01 +0.0000e+00 +6.1839e-01 +2.2825e-01 +4.7923e-02 +1.0000e+00 +5.8444e-01 +1.0000e+00 +1.0000e+00 +4.1194e-01 +4.2944e-01 +4.4041e-01 +3.8038e-01 +3.5251e-02 +7.7146e-01
% function evaluation | noise-free fitness - Fopt (1.151100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.766653314e+05 +1.766653314e+05 +1.767804414e+05 +1.767804414e+05 +6.2826e-01 +2.6209e-01 +7.0684e-01 +6.0088e-01 +3.7866e-01 +5.9457e-01 +8.0069e-01 +5.3175e-01 +6.6943e-01 +8.6570e-01 +2.3439e-01 +8.0769e-01 +9.1080e-01 +6.8959e-01 +6.2495e-01 +6.0072e-01 +7.7344e-01 +5.0866e-01 +1.7096e-01 +3.7847e-01
23 +1.546213765e+05 +1.546213765e+05 +1.547364865e+05 +1.547364865e+05 +2.0407e-01 +3.6378e-01 +6.1323e-01 +6.3460e-01 +0.0000e+00 +3.4447e-01 +4.4139e-01 +7.8195e-01 +2.5466e-01 +5.5901e-01 +1.4840e-01 +6.2789e-01 +5.1249e-01 +4.6725e-01 +5.9332e-01 +4.5510e-01 +1.6613e-01 +6.2826e-01 +9.3859e-02 +9.2441e-01
108 +9.870780726e+04 +9.870780726e+04 +9.882291726e+04 +9.882291726e+04 +1.0000e+00 +4.4069e-03 +1.0000e+00 +9.8454e-01 +9.9189e-01 +2.3262e-02 +7.8153e-01 +0.0000e+00 +0.0000e+00 +8.8317e-01 +4.4077e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +3.2227e-01 +1.0000e+00 +0.0000e+00 +7.4565e-01
% function evaluation | noise-free fitness - Fopt (1.759000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.647163948e+05 +1.647163948e+05 +1.647339848e+05 +1.647339848e+05 +9.9633e-01 +7.9283e-01 +1.6227e-01 +1.0058e-01 +4.7264e-01 +4.3487e-01 +8.2644e-01 +8.3880e-01 +8.7448e-01 +9.3464e-01 +7.5663e-01 +7.9533e-02 +3.4958e-01 +1.9816e-01 +6.9930e-02 +9.4063e-01 +4.7198e-01 +6.1310e-01 +1.6141e-01 +9.0067e-01
4 +1.475899267e+05 +1.475899267e+05 +1.476075167e+05 +1.476075167e+05 +3.1626e-01 +7.3409e-01 +6.6239e-01 +3.4301e-01 +7.4407e-01 +8.5145e-01 +1.1025e-01 +7.2916e-01 +3.3160e-02 +1.1975e-01 +5.7450e-01 +6.6420e-01 +3.0038e-02 +7.9976e-01 +3.1108e-01 +3.2047e-02 +5.1807e-01 +1.0663e-01 +5.6779e-01 +1.4941e-01
67 +9.681770109e+04 +9.681770109e+04 +9.683529109e+04 +9.683529109e+04 +3.0088e-01 +3.5132e-01 +1.2091e-01 +1.6203e-01 +1.0000e+00 +1.0000e+00 +1.7860e-01 +9.3258e-01 +7.5922e-02 +0.0000e+00 +1.4996e-01 +0.0000e+00 +1.0000e+00 +7.0585e-01 +7.4719e-01 +0.0000e+00 +0.0000e+00 +5.0434e-01 +0.0000e+00 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.401374386e+05 +1.401374386e+05 +1.411374386e+05 +1.411374386e+05 +3.8003e-01 +9.0825e-01 +4.3963e-01 +2.2125e-01 +7.7854e-01 +1.3754e-01 +5.1363e-01 +3.8523e-01 +2.4423e-01 +4.9543e-01 +7.7303e-01 +1.9224e-02 +6.0166e-01 +2.6843e-01 +1.9259e-01 +8.9425e-01 +1.9618e-01 +5.4241e-01 +5.0196e-01 +6.3885e-01
68 +9.798454824e+04 +9.798454824e+04 +9.898454824e+04 +9.898454824e+04 +8.6928e-01 +9.6905e-01 +0.0000e+00 +3.3496e-02 +1.0000e+00 +6.2584e-02 +8.1224e-01 +3.5789e-02 +1.0000e+00 +0.0000e+00 +0.0000e+00 +3.1018e-01 +2.6693e-01 +0.0000e+00 +2.4360e-01 +1.0000e+00 +2.3927e-01 +1.0000e+00 +5.9514e-01 +9.4715e-01
