% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.637946576e+03 +2.637946576e+03 +2.561316576e+03 +2.561316576e+03 +3.0513e-01 +1.0911e-01 +7.2975e-01 +9.1937e-01 +3.2009e-01 +3.0373e-01 +5.6404e-01 +1.5826e-01 +8.4135e-01 +7.8582e-01 +5.8926e-01 +1.1240e-01 +7.6184e-01 +9.3181e-01 +8.7110e-01 +2.8318e-02 +9.5665e-02 +6.7263e-01 +7.1032e-04 +3.1245e-01
9 +2.491664710e+03 +2.491664710e+03 +2.415034710e+03 +2.415034710e+03 +4.4281e-01 +9.6092e-01 +1.9569e-01 +7.3573e-01 +4.8775e-02 +9.0162e-01 +2.5352e-01 +4.6810e-01 +3.7188e-01 +7.2204e-01 +4.2016e-02 +8.9020e-01 +7.7981e-01 +5.2737e-01 +3.1296e-01 +4.1658e-02 +9.6479e-01 +9.5074e-01 +2.5027e-01 +6.8614e-01
% function evaluation | noise-free fitness - Fopt (1.152600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.137340699e+03 +2.137340699e+03 +2.252600699e+03 +2.252600699e+03 +1.9258e-01 +5.6068e-01 +9.1026e-01 +4.8051e-01 +7.0771e-01 +4.2165e-02 +6.0329e-02 +2.5660e-01 +2.6368e-01 +2.6917e-01 +3.2528e-01 +1.3475e-01 +4.3539e-01 +9.1132e-01 +6.1683e-01 +5.1450e-01 +1.9221e-01 +7.9661e-01 +5.8631e-01 +4.8813e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e-01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.999657791e+03 +1.999657791e+03 +1.999557791e+03 +1.999557791e+03 +7.2798e-01 +9.8499e-01 +3.7928e-01 +4.3234e-02 +4.2483e-01 +7.8892e-01 +9.7611e-01 +8.0994e-01 +1.8700e-01 +7.8710e-01 +1.1744e-01 +1.2960e-01 +2.3250e-01 +2.0330e-01 +5.5831e-01 +7.8325e-01 +9.8467e-01 +7.1103e-01 +8.2722e-01 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.502400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.193686009e+03 +2.193686009e+03 +2.043446009e+03 +2.043446009e+03 +8.9030e-01 +7.9006e-01 +1.9640e-01 +8.8457e-01 +9.6659e-01 +6.4366e-02 +9.2428e-01 +7.2018e-01 +7.6855e-01 +8.3574e-01 +6.1176e-01 +2.2567e-01 +9.5487e-01 +1.7367e-01 +3.1320e-01 +6.2626e-01 +1.9376e-01 +2.2201e-01 +3.2172e-01 +6.6015e-01
% function evaluation | noise-free fitness - Fopt (7.470000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.289222695e+03 +2.289222695e+03 +2.363922695e+03 +2.363922695e+03 +3.0529e-01 +2.0455e-01 +4.4743e-01 +5.7501e-01 +7.8372e-01 +7.8339e-01 +3.0635e-01 +9.1989e-01 +8.2795e-01 +8.0679e-01 +8.0668e-01 +8.0481e-01 +9.3475e-01 +5.2789e-01 +8.1170e-01 +3.3336e-01 +1.3908e-01 +5.8046e-01 +3.5099e-02 +6.8413e-01
% function evaluation | noise-free fitness - Fopt (-8.478000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.898571549e+03 +1.898571549e+03 +1.813791549e+03 +1.813791549e+03 +6.8587e-01 +5.7331e-01 +9.6486e-02 +6.1688e-01 +1.6400e-01 +6.6600e-01 +6.1245e-01 +1.7597e-01 +6.4763e-02 +9.0572e-01 +7.7202e-01 +8.1327e-01 +6.2639e-01 +1.2949e-01 +7.0321e-02 +8.3921e-01 +8.4108e-01 +2.1879e-01 +2.6641e-01 +9.9480e-01
102 +1.576738847e+03 +1.576738847e+03 +1.491958847e+03 +1.491958847e+03 +9.7485e-01 +1.0000e+00 +3.0869e-01 +4.7078e-01 +5.7759e-01 +9.9327e-01 +6.9419e-02 +0.0000e+00 +1.0000e+00 +0.0000e+00 +3.9484e-01 +0.0000e+00 +7.5992e-02 +7.4262e-01 +0.0000e+00 +5.9198e-02 +1.0468e-01 +1.8462e-01 +6.6873e-01 +1.0460e-01
% function evaluation | noise-free fitness - Fopt (1.620500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.911949893e+03 +1.911949893e+03 +2.073999893e+03 +2.073999893e+03 +1.1926e-02 +9.7444e-01 +6.1744e-01 +7.4565e-01 +2.7755e-01 +6.6214e-01 +2.2767e-01 +5.8572e-01 +8.5069e-01 +3.5360e-01 +4.1592e-01 +2.1265e-01 +2.3189e-01 +6.4287e-01 +2.1469e-01 +7.4886e-01 +3.4144e-01 +4.0590e-01 +7.0031e-01 +8.2986e-01
78 +1.583678277e+03 +1.583678277e+03 +1.745728277e+03 +1.745728277e+03 +1.0000e+00 +3.4873e-01 +8.7861e-01 +5.4307e-01 +8.3381e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.5138e-01 +1.0000e+00 +5.7345e-01 +1.0000e+00 +9.6230e-01 +0.0000e+00 +7.8108e-02 +8.0693e-01 +9.4976e-01 +2.3033e-01 +7.1277e-01 +2.0587e-01
% function evaluation | noise-free fitness - Fopt (-3.549000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.454802060e+03 +2.454802060e+03 +2.419312060e+03 +2.419312060e+03 +8.0894e-01 +9.3221e-01 +3.5238e-01 +5.4658e-01 +1.6006e-01 +8.7459e-01 +9.1281e-01 +3.0935e-01 +1.7409e-01 +9.5020e-01 +7.1236e-01 +2.6132e-01 +9.0533e-01 +3.4334e-01 +7.7654e-01 +8.9976e-01 +6.4127e-01 +3.2214e-01 +2.8800e-01 +7.9897e-01
% function evaluation | noise-free fitness - Fopt (1.762000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.145025027e+03 +2.145025027e+03 +2.321225027e+03 +2.321225027e+03 +5.8902e-01 +2.5403e-02 +8.2515e-01 +1.8954e-01 +5.1958e-01 +7.0195e-01 +2.4959e-01 +5.6370e-01 +6.6226e-01 +8.7464e-01 +2.8044e-02 +6.2085e-01 +3.3284e-01 +7.1219e-01 +3.5425e-02 +7.6324e-01 +5.0989e-02 +4.4807e-02 +2.8129e-01 +4.4969e-01
